TPC-C loaded - consumed space in GiB = 0.227018
Warehouse pages = 1
Error opening counter cycle
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 49  | 2208       | 85.2355- | 26.4490- | 0        | 3.2      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 72291    |
| 50  | 2311       | 87.5378- | 26.6582- | 0        | 3.3      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 79799    |
| 51  | 2407       | 84.1296- | 23.7083- | 0        | 3.2      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 67668    |
| 52  | 2333       | 85.4264- | 26.1708- | 0        | 3.3      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 73257    |
| 53  | 2514       | 85.3221- | 26.5127- | 0        | 3.4      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 63016    |
| 54  | 2240       | 84.5535- | 21.9240- | 0        | 3.2      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 97766    |
| 55  | 2337       | 84.8523- | 24.6372- | 0        | 3.3      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 93602    |
| 56  | 2242       | 85.2809- | 23.2454- | 0        | 3.2      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 85016    |
| 57  | 2299       | 84.1235- | 25.1627- | 0        | 3.1      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 74762    |
| 58  | 2219       | 82.7850- | 23.7194- | 0        | 3.1      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 79616    |
| 59  | 2343       | 85.1899- | 23.5812- | 0        | 3.4      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 75006    |
156575,160376,158737,158399,
TPC-C = 634087
CH = 0
