Loading TPC-C
TPC-C loaded - consumed space in GiB = 1.01213
Warehouse pages = 1
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 82  | 84194      | 96.0543- | 11.8701- | 0        | 0.0      | 0.0      | 289073.- | 130146.- | 7.908174 | 1019.56- | 884.884- | 10.9401- | 0.2      | 0.2      | 8.2      | 8        |
| 83  | 53059      | 95.5012- | 11.9703- | 0        | 0.0      | 0.0      | 402164.- | 171700.- | 7.777289 | 1228.81- | 1077.26- | 9.228258 | 0.1      | 0.1      | 8.3      | 9        |
| 84  | 71278      | 96.0857- | 11.8370- | 0        | 0.0      | 0.0      | 207104.- | 121627.- | 7.803952 | 1088.44- | 968.499- | 8.739450 | 0.2      | 0.1      | 8.4      | 6        |
| 85  | 36158      | 95.8266- | 12.0264- | 0        | 0.0      | 0.0      | 916518.- | 267655.- | 7.921746 | 1087.86- | 929.184- | 9.589750 | 0.1      | 0.1      | 8.4      | 2        |
| 86  | 51097      | 95.9390- | 11.5647- | 0        | 0.0      | 0.0      | 764775.- | 214389.- | 7.977587 | 1198.53- | 1061.13- | 10.8357- | 0.1      | 0.1      | 8.5      | 3        |
| 87  | 76604      | 96.3030- | 11.7414- | 0        | 0.0      | 0.0      | 234771.- | 128071.- | 7.714642 | 1064.56- | 951.077- | 10.0167- | 0.2      | 0.2      | 8.6      | 5        |
| 88  | 50729      | 95.3990- | 11.4182- | 0        | 0.0      | 0.0      | 218793.- | 134637.- | 6.470896 | 1144.32- | 1112.25- | 8.254436 | 0.1      | 0.1      | 8.6      | 8        |
| 89  | 37942      | 95.7197- | 11.5158- | 0        | 0.0      | 0.0      | 513047.- | 215660.- | 7.667458 | 1344.68- | 1220.45- | 8.361303 | 0.1      | 0.1      | 8.7      | 4        |
| 90  | 61020      | 95.6571- | 11.9886- | 0        | 0.0      | 0.0      | 207121.- | 133551.- | 7.405289 | 1144.00- | 1081.67- | 8.613790 | 0.1      | 0.1      | 8.8      | 12       |
| 91  | 60571      | 95.6018- | 11.8492- | 0        | 0.0      | 0.0      | 202269.- | 124759.- | 7.464515 | 1078.36- | 1017.37- | 7.936374 | 0.1      | 0.1      | 8.8      | 11       |
| 92  | 77269      | 95.6554- | 11.8255- | 0        | 0.0      | 0.0      | 210379.- | 114518.- | 7.943121 | 1036.45- | 901.723- | 8.742783 | 0.2      | 0.2      | 8.9      | 15       |
| 93  | 88673      | 95.8375- | 11.7611- | 0        | 0.0      | 0.0      | 213233.- | 116630.- | 7.942456 | 1035.36- | 883.956- | 10.2619- | 0.2      | 0.2      | 9.0      | 13       |
| 94  | 88594      | 95.7705- | 11.8976- | 0        | 0.0      | 0.0      | 209711.- | 117571.- | 7.921536 | 1033.64- | 856.893- | 10.3504- | 0.2      | 0.2      | 9.1      | 19       |
| 95  | 88397      | 95.5982- | 11.7556- | 0        | 0.0      | 0.0      | 207447.- | 117520.- | 7.924205 | 1041.86- | 853.618- | 10.3369- | 0.2      | 0.2      | 9.2      | 31       |
| 96  | 92264      | 95.5421- | 11.6625- | 0        | 0.0      | 0.0      | 186481.- | 99461.0- | 7.962249 | 896.639- | 759.395- | 9.053188 | 0.2      | 0.2      | 9.4      | 30       |
| 97  | 82957      | 95.4904- | 11.8968- | 0        | 0.0      | 0.0      | 205729.- | 123384.- | 7.735088 | 1066.61- | 905.294- | 10.4104- | 0.2      | 0.2      | 9.5      | 24       |
| 98  | 79069      | 95.4685- | 11.8074- | 0        | 0.0      | 0.0      | 208050.- | 121201.- | 7.890086 | 1067.14- | 933.313- | 9.548976 | 0.2      | 0.1      | 9.6      | 24       |
| 99  | 23672      | 95.8812- | 11.7572- | 0        | 0.0      | 0.0      | 1517780- | 336866.- | 7.978301 | 1341.01- | 1276.23- | 7.875089 | 0.1      | 0.0      | 9.6      | 1        |
| 100 | 67989      | 95.8743- | 11.9142- | 0        | 0.0      | 0.0      | 408776.- | 164368.- | 7.939929 | 1183.71- | 1013.81- | 11.1292- | 0.1      | 0.2      | 9.7      | 10       |
| 101 | 85740      | 95.4408- | 11.9893- | 0        | 0.0      | 0.0      | 352131.- | 141958.- | 7.962520 | 1081.15- | 892.880- | 12.0711- | 0.2      | 0.2      | 9.8      | 21       |
| 102 | 56807      | 95.6818- | 11.8738- | 0        | 0.0      | 0.0      | 599658.- | 200003.- | 7.927059 | 1301.16- | 1129.52- | 11.2874- | 0.1      | 0.1      | 9.8      | 5        |
| 103 | 53911      | 95.1679- | 11.7890- | 0        | 0.0      | 0.0      | 214301.- | 142396.- | 6.177792 | 1182.28- | 1173.84- | 9.748340 | 0.1      | 0.1      | 9.9      | 16       |
| 104 | 61968      | 95.5412- | 12.0010- | 0        | 0.0      | 0.0      | 202995.- | 132823.- | 7.388423 | 1139.07- | 1002.87- | 8.722943 | 0.1      | 0.1      | 10.0     | 14       |
| 105 | 59852      | 95.4938- | 11.6301- | 0        | 0.0      | 0.0      | 209672.- | 135500.- | 7.293155 | 1165.63- | 1089.96- | 8.721207 | 0.1      | 0.1      | 10.1     | 22       |
| 106 | 65478      | 95.5786- | 11.7975- | 0        | 0.0      | 0.0      | 210715.- | 129029.- | 7.573389 | 1127.24- | 1030.13- | 8.732516 | 0.1      | 0.1      | 10.1     | 21       |
| 107 | 77484      | 95.5552- | 11.7886- | 0        | 0.0      | 0.0      | 209391.- | 118081.- | 7.850844 | 1055.04- | 898.710- | 9.122709 | 0.2      | 0.2      | 10.2     | 26       |
| 108 | 93583      | 95.9682- | 11.8123- | 0        | 0.0      | 0.0      | 202808.- | 117665.- | 7.960669 | 1027.42- | 786.495- | 10.8989- | 0.2      | 0.2      | 10.3     | 25       |
| 109 | 96855      | 95.4932- | 11.8137- | 0        | 0.0      | 0.0      | 201800.- | 115659.- | 7.938403 | 1011.59- | 797.479- | 11.1504- | 0.2      | 0.2      | 10.5     | 30       |
| 110 | 101638     | 95.4426- | 11.8681- | 0        | 0.0      | 0.0      | 211372.- | 115061.- | 7.955633 | 1021.21- | 822.201- | 11.6103- | 0.2      | 0.2      | 10.6     | 31       |
| 111 | 92233      | 95.4170- | 11.7623- | 0        | 0.0      | 0.0      | 206968.- | 118081.- | 7.892654 | 1060.59- | 869.566- | 10.8772- | 0.2      | 0.2      | 10.7     | 28       |
| 112 | 73443      | 95.5448- | 11.7823- | 0        | 0.0      | 0.0      | 206751.- | 123490.- | 7.646706 | 1087.98- | 975.897- | 9.348158 | 0.2      | 0.2      | 10.8     | 20       |
| 113 | 75219      | 95.5902- | 11.8027- | 0        | 0.0      | 0.0      | 201420.- | 123206.- | 7.849159 | 1101.78- | 932.216- | 9.289425 | 0.2      | 0.2      | 10.9     | 23       |
| 114 | 72930      | 95.9056- | 11.8105- | 0        | 0.0      | 0.0      | 263193.- | 131089.- | 7.894720 | 1099.80- | 988.877- | 9.521324 | 0.2      | 0.1      | 11.0     | 5        |
| 115 | 44678      | 95.3601- | 11.8864- | 0        | 0.0      | 0.0      | 1049092- | 263407.- | 7.938864 | 1164.04- | 1036.90- | 11.6765- | 0.1      | 0.1      | 11.0     | 3        |
| 116 | 66686      | 95.5103- | 12.0098- | 0        | 0.0      | 0.0      | 569511.- | 154561.- | 7.977088 | 909.256- | 744.962- | 10.2255- | 0.1      | 0.1      | 11.1     | 3        |
| 117 | 36479      | 95.4905- | 11.6688- | 0        | 0.0      | 0.0      | 1922267- | 381403.- | 7.947924 | 1077.26- | 931.340- | 13.8589- | 0.1      | 0.1      | 11.1     | 2        |
1046817,1049974,1043385,1051192,1053159,1052918,1055964,1057917,
TPC-C = 8411326
CH = 0

consumed space in GiB = 11.1006
